Part ID,Supplier,Target OEM,Plant Location,Lead Time (Days),Component Category,Stock Status,Batch Quantity,Unit Cost (INR),Total Batch Value (INR),GST Rate (%),GST Amount (INR),Final Value with GST (INR)
PRT-IND-200022,Motherson Sumi,Maruti Suzuki,Sanand,19,Engine Core,Optimal Stock,334,"₹22,990.00","₹7,678,660.00",28,"₹2,150,024.80","₹9,828,684.80"
PRT-IND-200023,Bosch India,Tata Motors,Jamshedpur,21,Exhaust,Overstocked,1562,"₹26,861.00","₹41,956,882.00",28,"₹11,747,926.96","₹53,704,808.96"
PRT-IND-200024,Motherson Sumi,Hyundai India,Coimbatore,26,Exhaust,Overstocked,1950,"₹30,779.50","₹60,020,025.00",28,"₹16,805,607.00","₹76,825,632.00"
PRT-IND-200025,Uno Minda,Mahindra & Mahindra,Jamshedpur,10,Electrical & Sensor,Reorder Needed,80,"₹40,422.50","₹3,233,800.00",18,"₹582,084.00","₹3,815,884.00"
PRT-IND-200026,Motherson Sumi,Maruti Suzuki,Gurugram,28,Engine Core,Optimal Stock,444,"₹3,030.00","₹1,345,320.00",28,"₹376,689.60","₹1,722,009.60"
PRT-IND-200027,Tata AutoComp,Hyundai India,Manesar,35,Electrical & Sensor,Optimal Stock,606,"₹20,038.00","₹12,143,028.00",18,"₹2,185,745.04","₹14,328,773.04"
PRT-IND-200028,Bharat Forge,Maruti Suzuki,Chennai,37,Engine Core,Overstocked,1805,"₹49,028.50","₹88,496,442.50",28,"₹24,779,003.90","₹113,275,446.40"
PRT-IND-200029,Bosch India,Mahindra & Mahindra,Sanand,23,Engine Core,Overstocked,1499,"₹38,621.50","₹57,893,628.50",28,"₹16,210,215.98","₹74,103,844.48"
PRT-IND-200030,Uno Minda,Maruti Suzuki,Gurugram,26,Engine Core,Reorder Needed,218,"₹33,004.50","₹7,194,981.00",28,"₹2,014,594.68","₹9,209,575.68"
PRT-IND-200031,Uno Minda,TVS Motor,Chennai,30,Exhaust,Optimal Stock,403,"₹41,209.50","₹16,607,428.50",28,"₹4,650,079.98","₹21,257,508.48"
PRT-IND-200032,Tata AutoComp,Maruti Suzuki,Sanand,17,Electrical & Sensor,Overstocked,1743,"₹43,510.00","₹75,837,930.00",18,"₹13,650,827.40","₹89,488,757.40"
PRT-IND-200033,Bosch India,Mahindra & Mahindra,Bengaluru,38,Braking System,Optimal Stock,1101,"₹10,284.00","₹11,322,684.00",28,"₹3,170,351.52","₹14,493,035.52"
PRT-IND-200034,Bosch India,Bajaj Auto,Chennai,20,Braking System,Overstocked,1472,"₹17,943.00","₹26,412,096.00",28,"₹7,395,386.88","₹33,807,482.88"
PRT-IND-200035,Motherson Sumi,Maruti Suzuki,Chennai,10,Exhaust,Optimal Stock,779,"₹23,876.50","₹18,599,793.50",28,"₹5,207,942.18","₹23,807,735.68"
PRT-IND-200036,Uno Minda,Maruti Suzuki,Bengaluru,16,Braking System,Overstocked,1606,"₹10,223.00","₹16,418,138.00",28,"₹4,597,078.64","₹21,015,216.64"
PRT-IND-200037,Bosch India,TVS Motor,Bengaluru,33,Transmission,Overstocked,1352,"₹3,248.50","₹4,391,972.00",28,"₹1,229,752.16","₹5,621,724.16"
PRT-IND-200038,Bosch India,TVS Motor,Bengaluru,42,Transmission,Optimal Stock,757,"₹29,266.00","₹22,154,362.00",28,"₹6,203,221.36","₹28,357,583.36"
PRT-IND-200039,Mahindra CIE,Mahindra & Mahindra,Bengaluru,37,Engine Core,Overstocked,1723,"₹41,279.50","₹71,124,578.50",28,"₹19,914,881.98","₹91,039,460.48"
PRT-IND-200040,Tata AutoComp,Mahindra & Mahindra,Pune,9,Braking System,Overstocked,1842,"₹2,280.00","₹4,199,760.00",28,"₹1,175,932.80","₹5,375,692.80"
PRT-IND-200041,Motherson Sumi,Mahindra & Mahindra,Anantapur,9,Exhaust,Optimal Stock,879,"₹22,080.50","₹19,408,759.50",28,"₹5,434,452.66","₹24,843,212.16"
PRT-IND-200042,Mahindra CIE,Mahindra & Mahindra,Gurugram,19,Engine Core,Reorder Needed,202,"₹36,383.00","₹7,349,366.00",28,"₹2,057,822.48","₹9,407,188.48"
PRT-IND-200043,Motherson Sumi,Bajaj Auto,Jamshedpur,22,Transmission,Overstocked,1523,"₹39,331.00","₹59,901,113.00",28,"₹16,772,311.64","₹76,673,424.64"
PRT-IND-200044,Bosch India,Hyundai India,Pune,28,Exhaust,Optimal Stock,865,"₹40,676.00","₹35,184,740.00",28,"₹9,851,727.20","₹45,036,467.20"
PRT-IND-200045,Bharat Forge,Hero MotoCorp,Chennai,23,Transmission,Reorder Needed,191,"₹8,643.00","₹1,650,813.00",28,"₹462,227.64","₹2,113,040.64"
PRT-IND-200046,Endurance Tech,Hero MotoCorp,Coimbatore,12,Exhaust,Overstocked,1676,"₹29,973.50","₹50,235,586.00",28,"₹14,065,964.08","₹64,301,550.08"
PRT-IND-200047,Uno Minda,Maruti Suzuki,Sanand,9,Suspension,Optimal Stock,504,"₹47,013.50","₹23,694,804.00",28,"₹6,634,545.12","₹30,329,349.12"
PRT-IND-200048,Motherson Sumi,Maruti Suzuki,Pithampur,8,Electrical & Sensor,Reorder Needed,73,"₹27,607.50","₹2,015,347.50",18,"₹362,762.55","₹2,378,110.05"
PRT-IND-200049,Bosch India,Bajaj Auto,Anantapur,20,Transmission,Overstocked,1862,"₹2,080.00","₹3,872,960.00",28,"₹1,084,428.80","₹4,957,388.80"
PRT-IND-200050,Uno Minda,Maruti Suzuki,Gurugram,6,Suspension,Overstocked,1539,"₹39,348.00","₹60,556,572.00",28,"₹16,955,840.16","₹77,512,412.16"
PRT-IND-200051,Bosch India,Tata Motors,Manesar,32,Exhaust,Optimal Stock,663,"₹18,262.50","₹12,108,037.50",28,"₹3,390,250.50","₹15,498,288.00"
PRT-IND-200052,Bharat Forge,Tata Motors,Anantapur,27,Exhaust,Reorder Needed,126,"₹17,500.00","₹2,205,000.00",28,"₹617,400.00","₹2,822,400.00"
PRT-IND-200053,Endurance Tech,Hyundai India,Pithampur,13,Engine Core,Overstocked,1716,"₹20,949.50","₹35,949,342.00",28,"₹10,065,815.76","₹46,015,157.76"
PRT-IND-200054,Endurance Tech,Hyundai India,Gurugram,29,Engine Core,Overstocked,1729,"₹25,294.00","₹43,733,326.00",28,"₹12,245,331.28","₹55,978,657.28"
PRT-IND-200055,Mahindra CIE,Maruti Suzuki,Pune,8,Transmission,Reorder Needed,72,"₹42,077.00","₹3,029,544.00",28,"₹848,272.32","₹3,877,816.32"
PRT-IND-200056,Bosch India,Bajaj Auto,Bengaluru,17,Exhaust,Optimal Stock,349,"₹9,064.00","₹3,163,336.00",28,"₹885,734.08","₹4,049,070.08"
PRT-IND-200057,Bosch India,Tata Motors,Manesar,28,Engine Core,Reorder Needed,274,"₹44,749.00","₹12,261,226.00",28,"₹3,433,143.28","₹15,694,369.28"
PRT-IND-200058,Motherson Sumi,TVS Motor,Pithampur,36,Electrical & Sensor,Optimal Stock,362,"₹20,534.50","₹7,433,489.00",18,"₹1,338,028.02","₹8,771,517.02"
PRT-IND-200059,Endurance Tech,Mahindra & Mahindra,Chennai,25,Suspension,Overstocked,1686,"₹6,931.50","₹11,686,509.00",28,"₹3,272,222.52","₹14,958,731.52"
PRT-IND-200060,Motherson Sumi,Mahindra & Mahindra,Coimbatore,28,Electrical & Sensor,Overstocked,1730,"₹8,814.50","₹15,249,085.00",18,"₹2,744,835.30","₹17,993,920.30"
PRT-IND-200061,Motherson Sumi,Bajaj Auto,Sanand,26,Electrical & Sensor,Optimal Stock,723,"₹15,322.50","₹11,078,167.50",18,"₹1,994,070.15","₹13,072,237.65"
PRT-IND-200062,Bosch India,Mahindra & Mahindra,Sanand,9,Braking System,Optimal Stock,869,"₹17,056.50","₹14,822,098.50",28,"₹4,150,187.58","₹18,972,286.08"
PRT-IND-200063,Bharat Forge,TVS Motor,Gurugram,17,Transmission,Overstocked,1877,"₹23,404.00","₹43,929,308.00",28,"₹12,300,206.24","₹56,229,514.24"
PRT-IND-200064,Bosch India,Bajaj Auto,Manesar,8,Engine Core,Optimal Stock,750,"₹6,496.00","₹4,872,000.00",28,"₹1,364,160.00","₹6,236,160.00"
PRT-IND-200065,Bharat Forge,Tata Motors,Gurugram,26,Electrical & Sensor,Optimal Stock,443,"₹11,227.50","₹4,973,782.50",18,"₹895,280.85","₹5,869,063.35"
PRT-IND-200066,Endurance Tech,Bajaj Auto,Pithampur,24,Exhaust,Optimal Stock,885,"₹27,181.00","₹24,055,185.00",28,"₹6,735,451.80","₹30,790,636.80"
PRT-IND-200067,Endurance Tech,TVS Motor,Coimbatore,34,Suspension,Optimal Stock,624,"₹49,021.50","₹30,589,416.00",28,"₹8,565,036.48","₹39,154,452.48"
PRT-IND-200068,Uno Minda,Tata Motors,Manesar,43,Exhaust,Overstocked,1228,"₹22,578.00","₹27,725,784.00",28,"₹7,763,219.52","₹35,489,003.52"
PRT-IND-200069,Tata AutoComp,Maruti Suzuki,Anantapur,28,Braking System,Optimal Stock,1198,"₹11,328.50","₹13,571,543.00",28,"₹3,800,032.04","₹17,371,575.04"
PRT-IND-200070,Uno Minda,Hyundai India,Anantapur,20,Exhaust,Overstocked,1652,"₹44,431.00","₹73,400,012.00",28,"₹20,552,003.36","₹93,952,015.36"
PRT-IND-200071,Uno Minda,Maruti Suzuki,Pithampur,14,Braking System,Overstocked,1500,"₹20,994.50","₹31,491,750.00",28,"₹8,817,690.00","₹40,309,440.00"
PRT-IND-200072,Tata AutoComp,Maruti Suzuki,Pithampur,26,Exhaust,Optimal Stock,902,₹657.50,"₹593,065.00",28,"₹166,058.20","₹759,123.20"
PRT-IND-200073,Endurance Tech,Hero MotoCorp,Chennai,11,Exhaust,Overstocked,1523,"₹46,061.00","₹70,150,903.00",28,"₹19,642,252.84","₹89,793,155.84"
PRT-IND-200074,Motherson Sumi,Hyundai India,Pune,20,Suspension,Optimal Stock,612,"₹37,324.50","₹22,842,594.00",28,"₹6,395,926.32","₹29,238,520.32"
PRT-IND-200075,Bharat Forge,Hyundai India,Chennai,14,Exhaust,Overstocked,1668,"₹13,018.50","₹21,714,858.00",28,"₹6,080,160.24","₹27,795,018.24"
PRT-IND-200076,Bosch India,Bajaj Auto,Pune,28,Electrical & Sensor,Optimal Stock,626,"₹22,551.00","₹14,116,926.00",18,"₹2,541,046.68","₹16,657,972.68"
PRT-IND-200077,Uno Minda,Maruti Suzuki,Chennai,36,Braking System,Overstocked,1625,"₹4,348.00","₹7,065,500.00",28,"₹1,978,340.00","₹9,043,840.00"
PRT-IND-200078,Bosch India,Bajaj Auto,Coimbatore,15,Braking System,Optimal Stock,639,"₹19,159.50","₹12,242,920.50",28,"₹3,428,017.74","₹15,670,938.24"
PRT-IND-200079,Bosch India,Mahindra & Mahindra,Manesar,29,Transmission,Overstocked,1414,"₹30,662.00","₹43,356,068.00",28,"₹12,139,699.04","₹55,495,767.04"
PRT-IND-200080,Endurance Tech,Hero MotoCorp,Sanand,36,Braking System,Optimal Stock,1091,"₹35,403.50","₹38,625,218.50",28,"₹10,815,061.18","₹49,440,279.68"
PRT-IND-200081,Bharat Forge,Maruti Suzuki,Chennai,22,Transmission,Overstocked,1360,"₹48,648.00","₹66,161,280.00",28,"₹18,525,158.40","₹84,686,438.40"
PRT-IND-200082,Bharat Forge,Mahindra & Mahindra,Anantapur,28,Engine Core,Reorder Needed,131,"₹9,328.50","₹1,222,033.50",28,"₹342,169.38","₹1,564,202.88"
PRT-IND-200083,Bosch India,Mahindra & Mahindra,Coimbatore,28,Exhaust,Overstocked,1649,"₹12,686.50","₹20,920,038.50",28,"₹5,857,610.78","₹26,777,649.28"
PRT-IND-200084,Motherson Sumi,Bajaj Auto,Chennai,13,Transmission,Overstocked,1318,"₹29,122.50","₹38,383,455.00",28,"₹10,747,367.40","₹49,130,822.40"
PRT-IND-200085,Bharat Forge,Hero MotoCorp,Gurugram,43,Engine Core,Reorder Needed,52,"₹29,297.00","₹1,523,444.00",28,"₹426,564.32","₹1,950,008.32"
PRT-IND-200086,Bosch India,TVS Motor,Coimbatore,13,Engine Core,Optimal Stock,1154,"₹12,169.00","₹14,043,026.00",28,"₹3,932,047.28","₹17,975,073.28"
PRT-IND-200087,Uno Minda,Bajaj Auto,Manesar,23,Exhaust,Optimal Stock,441,"₹35,076.50","₹15,468,736.50",28,"₹4,331,246.22","₹19,799,982.72"
PRT-IND-200088,Uno Minda,Bajaj Auto,Jamshedpur,34,Suspension,Overstocked,1885,"₹31,257.50","₹58,920,387.50",28,"₹16,497,708.50","₹75,418,096.00"
PRT-IND-200089,Tata AutoComp,Mahindra & Mahindra,Pune,32,Transmission,Overstocked,1294,"₹12,645.50","₹16,363,277.00",28,"₹4,581,717.56","₹20,944,994.56"
PRT-IND-200090,Bharat Forge,TVS Motor,Pithampur,34,Engine Core,Overstocked,1448,"₹7,830.50","₹11,338,564.00",28,"₹3,174,797.92","₹14,513,361.92"
PRT-IND-200091,Tata AutoComp,Maruti Suzuki,Sanand,32,Electrical & Sensor,Optimal Stock,974,"₹45,185.00","₹44,010,190.00",18,"₹7,921,834.20","₹51,932,024.20"
PRT-IND-200092,Mahindra CIE,Tata Motors,Pune,21,Transmission,Overstocked,1909,"₹6,338.00","₹12,099,242.00",28,"₹3,387,787.76","₹15,487,029.76"
PRT-IND-200093,Tata AutoComp,Tata Motors,Pune,13,Electrical & Sensor,Overstocked,1329,"₹45,216.50","₹60,092,728.50",18,"₹10,816,691.13","₹70,909,419.63"
PRT-IND-200094,Tata AutoComp,Hyundai India,Bengaluru,6,Exhaust,Optimal Stock,1063,"₹30,247.00","₹32,152,561.00",28,"₹9,002,717.08","₹41,155,278.08"
PRT-IND-200095,Bharat Forge,Mahindra & Mahindra,Bengaluru,11,Braking System,Overstocked,1629,"₹13,765.00","₹22,423,185.00",28,"₹6,278,491.80","₹28,701,676.80"
PRT-IND-200096,Bharat Forge,Tata Motors,Gurugram,33,Engine Core,Optimal Stock,1147,"₹17,817.00","₹20,436,099.00",28,"₹5,722,107.72","₹26,158,206.72"
PRT-IND-200097,Endurance Tech,TVS Motor,Manesar,7,Engine Core,Reorder Needed,164,"₹36,028.50","₹5,908,674.00",28,"₹1,654,428.72","₹7,563,102.72"
PRT-IND-200098,Mahindra CIE,Maruti Suzuki,Bengaluru,41,Exhaust,Reorder Needed,100,"₹25,223.50","₹2,522,350.00",28,"₹706,258.00","₹3,228,608.00"
PRT-IND-200099,Bosch India,Maruti Suzuki,Manesar,6,Braking System,Optimal Stock,617,"₹18,265.00","₹11,269,505.00",28,"₹3,155,461.40","₹14,424,966.40"
PRT-IND-200100,Uno Minda,Tata Motors,Gurugram,31,Engine Core,Optimal Stock,994,"₹2,522.50","₹2,507,365.00",28,"₹702,062.20","₹3,209,427.20"
PRT-IND-200101,Bosch India,TVS Motor,Gurugram,28,Suspension,Overstocked,1534,"₹21,747.00","₹33,359,898.00",28,"₹9,340,771.44","₹42,700,669.44"
PRT-IND-200102,Uno Minda,Tata Motors,Bengaluru,34,Suspension,Overstocked,1987,"₹5,040.50","₹10,015,473.50",28,"₹2,804,332.58","₹12,819,806.08"
PRT-IND-200103,Motherson Sumi,Hyundai India,Chennai,7,Exhaust,Reorder Needed,231,"₹38,641.50","₹8,926,186.50",28,"₹2,499,332.22","₹11,425,518.72"
PRT-IND-200104,Endurance Tech,Hyundai India,Bengaluru,16,Electrical & Sensor,Overstocked,1950,"₹3,081.00","₹6,007,950.00",18,"₹1,081,431.00","₹7,089,381.00"
PRT-IND-200105,Bharat Forge,Tata Motors,Coimbatore,16,Exhaust,Reorder Needed,97,"₹15,204.50","₹1,474,836.50",28,"₹412,954.22","₹1,887,790.72"
PRT-IND-200106,Mahindra CIE,Tata Motors,Coimbatore,13,Suspension,Optimal Stock,678,"₹38,720.00","₹26,252,160.00",28,"₹7,350,604.80","₹33,602,764.80"
PRT-IND-200107,Uno Minda,Tata Motors,Bengaluru,23,Exhaust,Overstocked,1212,"₹24,122.50","₹29,236,470.00",28,"₹8,186,211.60","₹37,422,681.60"
PRT-IND-200108,Bosch India,Maruti Suzuki,Gurugram,13,Electrical & Sensor,Optimal Stock,680,"₹29,578.50","₹20,113,380.00",18,"₹3,620,408.40","₹23,733,788.40"
PRT-IND-200109,Uno Minda,Hero MotoCorp,Chennai,40,Braking System,Optimal Stock,653,"₹37,584.00","₹24,542,352.00",28,"₹6,871,858.56","₹31,414,210.56"
PRT-IND-200110,Endurance Tech,Bajaj Auto,Chennai,8,Suspension,Overstocked,1673,"₹37,510.50","₹62,755,066.50",28,"₹17,571,418.62","₹80,326,485.12"
PRT-IND-200111,Bharat Forge,Tata Motors,Manesar,31,Engine Core,Optimal Stock,709,"₹2,075.50","₹1,471,529.50",28,"₹412,028.26","₹1,883,557.76"
PRT-IND-200112,Motherson Sumi,TVS Motor,Anantapur,27,Braking System,Optimal Stock,987,"₹41,863.00","₹41,318,781.00",28,"₹11,569,258.68","₹52,888,039.68"
PRT-IND-200113,Bosch India,Maruti Suzuki,Manesar,16,Engine Core,Optimal Stock,894,"₹25,072.00","₹22,414,368.00",28,"₹6,276,023.04","₹28,690,391.04"
PRT-IND-200114,Motherson Sumi,TVS Motor,Chennai,7,Exhaust,Overstocked,1433,"₹46,301.50","₹66,350,049.50",28,"₹18,578,013.86","₹84,928,063.36"
PRT-IND-200115,Endurance Tech,Mahindra & Mahindra,Chennai,34,Electrical & Sensor,Overstocked,1383,"₹13,457.50","₹18,611,722.50",18,"₹3,350,110.05","₹21,961,832.55"
PRT-IND-200116,Mahindra CIE,Tata Motors,Coimbatore,35,Transmission,Overstocked,1985,"₹34,322.00","₹68,129,170.00",28,"₹19,076,167.60","₹87,205,337.60"
PRT-IND-200117,Bosch India,Hero MotoCorp,Gurugram,24,Exhaust,Optimal Stock,684,"₹15,418.00","₹10,545,912.00",28,"₹2,952,855.36","₹13,498,767.36"
PRT-IND-200118,Bosch India,Bajaj Auto,Pune,39,Exhaust,Overstocked,1888,"₹30,972.50","₹58,476,080.00",28,"₹16,373,302.40","₹74,849,382.40"
PRT-IND-200119,Bosch India,Mahindra & Mahindra,Bengaluru,23,Transmission,Overstocked,1898,"₹33,207.50","₹63,027,835.00",28,"₹17,647,793.80","₹80,675,628.80"
PRT-IND-200120,Bosch India,Maruti Suzuki,Anantapur,18,Suspension,Optimal Stock,591,"₹25,328.50","₹14,969,143.50",28,"₹4,191,360.18","₹19,160,503.68"
PRT-IND-200121,Bosch India,TVS Motor,Anantapur,37,Braking System,Optimal Stock,1062,"₹37,195.00","₹39,501,090.00",28,"₹11,060,305.20","₹50,561,395.20"
PRT-IND-200122,Uno Minda,Tata Motors,Sanand,40,Electrical & Sensor,Overstocked,1846,"₹46,429.00","₹85,707,934.00",18,"₹15,427,428.12","₹101,135,362.12"
PRT-IND-200123,Endurance Tech,Mahindra & Mahindra,Pithampur,40,Electrical & Sensor,Overstocked,1676,"₹3,923.00","₹6,574,948.00",18,"₹1,183,490.64","₹7,758,438.64"
PRT-IND-200124,Bharat Forge,Mahindra & Mahindra,Sanand,34,Transmission,Overstocked,1210,"₹4,974.50","₹6,019,145.00",28,"₹1,685,360.60","₹7,704,505.60"
PRT-IND-200125,Mahindra CIE,Bajaj Auto,Anantapur,36,Electrical & Sensor,Overstocked,1671,"₹44,423.50","₹74,231,668.50",18,"₹13,361,700.33","₹87,593,368.83"
PRT-IND-200126,Motherson Sumi,TVS Motor,Sanand,6,Braking System,Overstocked,1703,"₹43,877.00","₹74,722,531.00",28,"₹20,922,308.68","₹95,644,839.68"
PRT-IND-200127,Bosch India,Tata Motors,Chennai,5,Engine Core,Optimal Stock,669,"₹26,428.00","₹17,680,332.00",28,"₹4,950,492.96","₹22,630,824.96"
PRT-IND-200128,Endurance Tech,Mahindra & Mahindra,Anantapur,33,Exhaust,Overstocked,1207,"₹37,152.50","₹44,843,067.50",28,"₹12,556,058.90","₹57,399,126.40"
PRT-IND-200129,Bosch India,Tata Motors,Sanand,3,Transmission,Optimal Stock,783,"₹3,760.50","₹2,944,471.50",28,"₹824,452.02","₹3,768,923.52"
PRT-IND-200130,Motherson Sumi,Hero MotoCorp,Pune,30,Engine Core,Optimal Stock,1046,"₹14,925.00","₹15,611,550.00",28,"₹4,371,234.00","₹19,982,784.00"
PRT-IND-200131,Bosch India,Mahindra & Mahindra,Chennai,12,Exhaust,Overstocked,1948,"₹3,230.00","₹6,292,040.00",28,"₹1,761,771.20","₹8,053,811.20"
PRT-IND-200132,Motherson Sumi,TVS Motor,Bengaluru,38,Electrical & Sensor,Optimal Stock,893,"₹35,769.00","₹31,941,717.00",18,"₹5,749,509.06","₹37,691,226.06"
PRT-IND-200133,Motherson Sumi,Maruti Suzuki,Pune,7,Engine Core,Overstocked,1839,"₹49,108.50","₹90,310,531.50",28,"₹25,286,948.82","₹115,597,480.32"
PRT-IND-200134,Uno Minda,Hero MotoCorp,Bengaluru,14,Engine Core,Optimal Stock,334,"₹45,394.00","₹15,161,596.00",28,"₹4,245,246.88","₹19,406,842.88"
PRT-IND-200135,Tata AutoComp,Tata Motors,Manesar,21,Exhaust,Optimal Stock,446,"₹19,377.50","₹8,642,365.00",28,"₹2,419,862.20","₹11,062,227.20"
PRT-IND-200136,Bosch India,Hyundai India,Pune,3,Electrical & Sensor,Optimal Stock,601,"₹18,716.50","₹11,248,616.50",18,"₹2,024,750.97","₹13,273,367.47"
PRT-IND-200137,Tata AutoComp,Hyundai India,Pune,23,Braking System,Optimal Stock,853,"₹24,817.00","₹21,168,901.00",28,"₹5,927,292.28","₹27,096,193.28"
PRT-IND-200138,Motherson Sumi,Hero MotoCorp,Coimbatore,9,Braking System,Optimal Stock,919,₹834.00,"₹766,446.00",28,"₹214,604.88","₹981,050.88"
PRT-IND-200139,Mahindra CIE,Tata Motors,Coimbatore,19,Transmission,Reorder Needed,232,"₹26,395.00","₹6,123,640.00",28,"₹1,714,619.20","₹7,838,259.20"
PRT-IND-200140,Mahindra CIE,Maruti Suzuki,Pune,42,Engine Core,Overstocked,1748,"₹28,344.50","₹49,546,186.00",28,"₹13,872,932.08","₹63,419,118.08"
PRT-IND-200141,Bharat Forge,TVS Motor,Jamshedpur,37,Engine Core,Optimal Stock,634,"₹22,908.00","₹14,523,672.00",28,"₹4,066,628.16","₹18,590,300.16"
PRT-IND-200142,Mahindra CIE,Bajaj Auto,Anantapur,28,Electrical & Sensor,Optimal Stock,777,"₹44,985.00","₹34,953,345.00",18,"₹6,291,602.10","₹41,244,947.10"
PRT-IND-200143,Endurance Tech,Tata Motors,Chennai,4,Braking System,Optimal Stock,1050,"₹28,405.00","₹29,825,250.00",28,"₹8,351,070.00","₹38,176,320.00"
PRT-IND-200144,Uno Minda,Hero MotoCorp,Sanand,4,Exhaust,Overstocked,1525,"₹10,734.50","₹16,370,112.50",28,"₹4,583,631.50","₹20,953,744.00"
PRT-IND-200145,Endurance Tech,Mahindra & Mahindra,Pune,27,Braking System,Reorder Needed,87,"₹42,049.00","₹3,658,263.00",28,"₹1,024,313.64","₹4,682,576.64"
PRT-IND-200146,Endurance Tech,TVS Motor,Gurugram,10,Exhaust,Overstocked,1406,"₹19,377.00","₹27,244,062.00",28,"₹7,628,337.36","₹34,872,399.36"
PRT-IND-200147,Mahindra CIE,Hero MotoCorp,Pithampur,13,Electrical & Sensor,Optimal Stock,811,"₹9,799.50","₹7,947,394.50",18,"₹1,430,531.01","₹9,377,925.51"
